row,svkMatvecs,svkSubspaceSize,svkMedian,svkTop,svkBot,b2Matvecs,b2SubspaceSize,b2Median,b2Top,b2Bot,b3Matvecs,b3SubspaceSize,b3Median,b3Top,b3Bot,bkMatvecs,bkSubspaceSize,bkMedian,bkTop,bkBot,g1e-6Matvecs,g1e-6SubspaceSize,g1e-6Median,g1e-6Top,g1e-6Bot,d1e-6Matvecs,d1e-6SubspaceSize,d1e-6Median,d1e-6Top,d1e-6Bot,g1e-8Matvecs,g1e-8SubspaceSize,g1e-8Median,g1e-8Top,g1e-8Bot,d1e-8Matvecs,d1e-8SubspaceSize,d1e-8Median,d1e-8Top,d1e-8Bot,g1e-10Matvecs,g1e-10SubspaceSize,g1e-10Median,g1e-10Top,g1e-10Bot,d1e-10Matvecs,d1e-10SubspaceSize,d1e-10Median,d1e-10Top,d1e-10Bot,g1e-12Matvecs,g1e-12SubspaceSize,g1e-12Median,g1e-12Top,g1e-12Bot,d1e-12Matvecs,d1e-12SubspaceSize,d1e-12Median,d1e-12Top,d1e-12Bot,g1e-14Matvecs,g1e-14SubspaceSize,g1e-14Median,g1e-14Top,g1e-14Bot,d1e-14Matvecs,d1e-14SubspaceSize,d1e-14Median,d1e-14Top,d1e-14Bot,g1e-16Matvecs,g1e-16SubspaceSize,g1e-16Median,g1e-16Top,g1e-16Bot,d1e-16Matvecs,d1e-16SubspaceSize,d1e-16Median,d1e-16Top,d1e-16Bot
1,451.0,151.0,0.009263236220319215,0.009175754228622893,0.009354815933475986,452.0,152.0,0.0031332992128656513,0.0030914311221482502,0.0032481209150381184,444.0,150.0,0.0038154215979661296,0.0036990269771069624,0.0039591650741522605,500.0,200.0,0.007205657351366102,0.007072589075433583,0.007443987784170171,451.0,151.0,0.004313071502493275,0.0042671801588559195,0.004338522423777291,451.0,151.0,0.004386070359199858,0.004341979546895391,0.004458576403855415,451.0,151.0,0.005115942193718491,0.005107049663231806,0.005171093792084623,451.0,151.0,0.005598726621180574,0.0055397220439128165,0.005788531991630073,451.0,151.0,0.005996986302264152,0.005979783177167528,0.006041371603949878,451.0,151.0,0.006621490780367811,0.00641637765813943,0.006789080271545889,451.0,151.0,0.006989198386720857,0.006947495456515598,0.007016619813142457,451.0,151.0,0.00757518267850611,0.007397890468398099,0.007698641081390676,451.0,151.0,0.008021870689527186,0.008015535153219927,0.008033127036466445,451.0,151.0,0.008216783632343709,0.008163415327338015,0.008257741383609197,451.0,151.0,0.009172561425950803,0.009164771398471392,0.009186297178954115,451.0,151.0,0.009221986141369026,0.009205820237546883,0.009234367738082427
2,478.0,160.0,0.0071005503553886904,0.007046788710810599,0.007213375983511623,476.0,160.0,0.002211445660486695,0.002058162251648539,0.002294807542934463,480.0,162.0,0.002185478227252186,0.002110513930334859,0.0022448048733119206,650.0,250.0,0.002103925926314228,0.002065574518045268,0.002228926820732779,478.0,160.0,0.002827607151185192,0.002764859062236474,0.002950226913711859,478.0,160.0,0.002843695932102117,0.002821799258050742,0.002936007671193586,478.0,160.0,0.0035013457310264593,0.003430524331638284,0.0035868704447483924,478.0,160.0,0.0035742390238211923,0.0035067703793656667,0.0036864761825513674,478.0,160.0,0.004282637477103286,0.0042511544894241245,0.004301900666138873,478.0,160.0,0.004522500525233508,0.00437908941516959,0.004722269224471675,478.0,160.0,0.005100981676769405,0.0050676173848977065,0.005163470570970111,478.0,160.0,0.0053295158156192474,0.005155645841011515,0.005525977696571644,478.0,160.0,0.005960477221531319,0.005949174144943124,0.00604352127154648,478.0,160.0,0.006204402118598429,0.00607037059298342,0.006440909586336787,478.0,160.0,0.006887087543762948,0.006879948717194781,0.006919658766501672,478.0,160.0,0.006934597658704983,0.006925407837625809,0.0069883045277181945
3,511.0,171.0,0.004982910805013414,0.0049655753514225714,0.005024107210216825,512.0,172.0,0.0011227881057594045,0.0010894544317947214,0.0011784060742460725,507.0,171.0,0.0013317035026715503,0.0012489022318296372,0.001446262766697741,800.0,300.0,0.0003622634351852953,0.00034578015119621696,0.00043094361577025253,511.0,171.0,0.0016367952902096104,0.0014742048504057695,0.0017090538232332076,511.0,171.0,0.0016711125648884361,0.0016608864749528545,0.0016943728527163877,511.0,171.0,0.002173671597178988,0.002124205702079519,0.0021904758393862037,511.0,171.0,0.002150320223337344,0.002124912637377121,0.0021645942670657737,511.0,171.0,0.0026733717247484573,0.0026719132485511833,0.0026786301311415997,511.0,171.0,0.0026977783339510964,0.0026807748654429737,0.0027182016420766657,511.0,171.0,0.0033795186136016883,0.0033480851248245585,0.003425076668562769,511.0,171.0,0.003410828426026335,0.0033983052962601535,0.0034300356411072516,511.0,171.0,0.004184731540075502,0.004169901583553719,0.004206476967160016,511.0,171.0,0.0041524009079724495,0.0041238308089041244,0.004181304560667712,511.0,171.0,0.004775499958799344,0.004601168694396577,0.004963206327665113,511.0,171.0,0.004991228838370074,0.0049698413676242835,0.005020246500541992
4,544.0,182.0,0.0027913009073176724,0.002699561598559887,0.002990941894801126,542.0,182.0,0.0005877126468363709,0.00044799217100450215,0.0006206276152334214,543.0,183.0,0.000571657153017039,0.0005682594367811275,0.0006341727624080304,950.0,350.0,1.6782025536962034e-5,1.4500161048040953e-5,1.948000018558444e-5,544.0,182.0,0.0006212218087265019,0.0005943685419474246,0.0006393587067298348,544.0,182.0,0.0006423282458199405,0.0006211213050478931,0.0006736248179607589,544.0,182.0,0.000848689430679201,0.0008100081902710648,0.0008591377843242739,544.0,182.0,0.000953333301502427,0.0009301783241121772,0.0010097921955757037,544.0,182.0,0.001173593707015114,0.001145125549072663,0.0012016472154529239,544.0,182.0,0.0013905784636427205,0.0012701664601119168,0.0015035653495916392,544.0,182.0,0.0016035097283645019,0.0015711385220774539,0.0016104674202568547,544.0,182.0,0.001717977963460272,0.0016816912106444348,0.001829622198354161,544.0,182.0,0.0021225523409205147,0.002078022089394122,0.0022068654601915426,544.0,182.0,0.0021494490565443125,0.00211887485259902,0.0022200005740407726,544.0,182.0,0.002666236365995803,0.0026547710522801596,0.0027014135652471388,544.0,182.0,0.0027232741324903307,0.0027052270464953776,0.002737404655085907
5,580.0,194.0,0.0012395583321002164,0.0010973625298589932,0.0014585327124748333,578.0,194.0,0.00018551475048858866,0.00015949444642146356,0.0002113903054202828,579.0,195.0,0.00021945644269378293,0.00020389026824920668,0.0002878630041259422,1100.0,400.0,9.739670154618305e-8,9.17836912005421e-8,1.2049144943486198e-7,580.0,194.0,0.0001288228809113031,0.000107311541665248,0.00016261244629936934,580.0,194.0,0.00018605380210307714,0.00015431908485487295,0.00021007763142286105,580.0,194.0,0.00026711818095460585,0.0002485298480218583,0.00027524225549418135,580.0,194.0,0.00029266933849011675,0.0002869938028975752,0.00035347183215616565,580.0,194.0,0.0003838777270732166,0.00031949431436781404,0.0004182604777712868,580.0,194.0,0.0005029561808694415,0.0003975948121076627,0.0005198583792642364,580.0,194.0,0.000555364790095888,0.0005178661221099403,0.00058127893647317,580.0,194.0,0.0006048407844858824,0.0005451974439475934,0.0006394026245216352,580.0,194.0,0.0008121707526682035,0.0007905341658052562,0.0008446277015535516,580.0,194.0,0.0008296196002639232,0.000800568093650181,0.0010212689820352052,580.0,194.0,0.0011610960066110367,0.0011187043735022624,0.0011797435303255697,580.0,194.0,0.001112785209897872,0.0010790167151688709,0.0011297270232000511
6,616.0,206.0,0.0003833562565126458,0.0002980410565818338,0.00042892790808916697,614.0,206.0,2.6928816562241706e-5,1.0858569266418653e-5,5.550355268552129e-5,615.0,207.0,7.361190200164372e-5,3.691865685021356e-5,9.730575736136305e-5,1250.0,450.0,2.2228247749598195e-10,1.8502164417374052e-10,2.820111786873457e-10,616.0,206.0,4.3229114638698466e-5,2.8024626757112242e-5,7.695119234893949e-5,616.0,206.0,8.553679060009108e-5,8.124448314431653e-5,8.753474143068546e-5,616.0,206.0,8.063340312123309e-5,7.321205379680989e-5,8.217875527515314e-5,616.0,206.0,0.00010888495602731829,8.429952001514804e-5,0.00012335048569991382,616.0,206.0,8.361038844552043e-5,8.195755566289703e-5,8.495079052773185e-5,616.0,206.0,0.00011975255264623012,0.00010455629584009143,0.00012718246080126026,616.0,206.0,0.00010919119774591192,9.35866180783958e-5,0.0001345571587570223,616.0,206.0,0.000154245116292043,0.00012596920830641807,0.00019700968953654806,616.0,206.0,0.00017728418154132363,0.00016218269774888973,0.0002539781565164018,616.0,206.0,0.00018351311605404436,0.00016655017886793707,0.00023907210036788404,616.0,206.0,0.0003324712761923386,0.0003047662167460766,0.00033814172603256434,616.0,206.0,0.0002870718809423249,0.0002702801695772621,0.00030233324895920894
7,658.0,220.0,4.081492836929569e-5,1.7477377119217977e-5,5.316603840260519e-5,656.0,220.0,1.207322840312783e-7,5.821571311912553e-8,1.9289934486044012e-7,660.0,222.0,5.644186556193398e-6,2.832039728393087e-6,1.4363801502877056e-5,1400.0,500.0,8.773338971634925e-14,7.984010646368908e-14,9.794022150858224e-14,658.0,220.0,2.6019394871309655e-8,2.6019394871309655e-8,2.763238258616629e-8,658.0,220.0,1.1117309948683968e-7,1.1117309948683968e-7,4.0987405412008237e-7,658.0,220.0,1.3492743416687022e-7,2.6015110769142425e-8,2.325667529666649e-7,658.0,220.0,9.457532393071258e-7,6.495809079438861e-7,1.265801613164125e-5,658.0,220.0,6.429239899300529e-7,1.7544223304560324e-7,4.23865830174501e-6,658.0,220.0,5.880004613727461e-6,4.136172631097793e-6,2.2767748694316532e-5,658.0,220.0,3.5781440193989832e-6,1.027853636967371e-6,7.66402058156528e-6,658.0,220.0,6.240776195442935e-5,4.381844766306659e-5,7.358633069694027e-5,658.0,220.0,1.1260981152948317e-5,4.890090982377618e-6,3.3740569993855486e-5,658.0,220.0,7.915326660111509e-5,6.49388467655459e-5,8.161834372224913e-5,658.0,220.0,2.118019377482482e-5,1.4910555924261623e-5,4.931532039682826e-5,658.0,220.0,4.365006023097856e-5,4.024477160104227e-5,7.35713919092939e-5
8,700.0,234.0,3.1858615827684598e-9,6.270743122702127e-10,2.3112952521681373e-8,698.0,234.0,4.5929672481802647e-10,7.874343909223473e-11,7.825198694599324e-10,696.0,234.0,6.878441257280411e-8,2.4487156079219494e-8,1.1228920352393935e-7,1550.0,550.0,1.0e-15,1.0e-15,1.0e-15,700.0,234.0,2.819597725460704e-8,2.8195941326559128e-8,2.819598024861103e-8,700.0,234.0,1.2931751871408347e-7,1.2931604031120298e-7,1.2931775791685696e-7,700.0,234.0,3.269967691284334e-10,3.269967691284334e-10,3.27061049486876e-10,700.0,234.0,1.2888313482430392e-9,1.2888313482430392e-9,1.2910744015977003e-9,700.0,234.0,2.242599717692576e-12,2.242599717692576e-12,2.858502629884341e-12,700.0,234.0,8.815418336837038e-11,1.4296686609532308e-11,2.65535083989839e-10,700.0,234.0,8.286441340557615e-11,3.403737975116371e-11,7.765513225011062e-10,700.0,234.0,5.348188424329356e-10,3.0381442303385473e-10,9.279436787405848e-10,700.0,234.0,1.4587126771368468e-9,1.9903353749442108e-10,4.64781898905021e-9,700.0,234.0,7.2524502672251195e-9,2.0354287495290247e-9,4.9034231205702347e-8,700.0,234.0,2.781883436624706e-9,1.4813115553624843e-9,5.822076336876893e-9,700.0,234.0,1.9552253342899683e-8,7.076739158921163e-9,7.308347949780696e-8
9,748.0,250.0,1.0e-15,1.0e-15,6.668463437592214e-15,746.0,250.0,1.7238204804660144e-15,1.0e-15,9.48101264256308e-15,741.0,249.0,1.469302922894893e-10,6.377527904186404e-11,8.327383437879589e-10,0.0,0.0,0.0,0.0,0.0,748.0,250.0,2.819598805116689e-8,2.8195987960439494e-8,2.8195988141894284e-8,748.0,250.0,1.293181842902437e-7,1.293181842902437e-7,1.293181842902437e-7,748.0,250.0,3.2715663079614817e-10,3.2715663079614817e-10,3.2715663079614817e-10,748.0,250.0,1.2931977855200596e-9,1.2931977855200596e-9,1.2931977855200596e-9,748.0,250.0,3.271266907562243e-12,3.271266907562243e-12,3.271266907562243e-12,748.0,250.0,1.2931919789668623e-11,1.2931919789668623e-11,1.2931919789668623e-11,748.0,250.0,3.266186173514554e-14,3.266186173514554e-14,3.266186173514554e-14,748.0,250.0,1.2901435385382487e-13,1.2901435385382487e-13,1.2901435385382487e-13,748.0,250.0,1.0e-15,1.0e-15,1.0e-15,748.0,250.0,1.2701835119223264e-15,1.2701835119223264e-15,1.2701835119223264e-15,748.0,250.0,1.0e-15,1.0e-15,1.0e-15,748.0,250.0,1.0e-15,1.0e-15,1.6330930867572767e-15
10,796.0,266.0,1.0e-15,1.0e-15,1.0e-15,794.0,266.0,1.0e-15,1.0e-15,1.0e-15,795.0,267.0,1.3427654268893165e-14,4.581733382291249e-15,3.075658646726205e-14,0.0,0.0,0.0,0.0,0.0,796.0,266.0,2.8195987960439494e-8,2.8195987960439494e-8,2.8195987960439494e-8,796.0,266.0,1.293181842902437e-7,1.293181842902437e-7,1.293181842902437e-7,796.0,266.0,3.2715663079614817e-10,3.2715663079614817e-10,3.2715663079614817e-10,796.0,266.0,1.2931977855200596e-9,1.2931977855200596e-9,1.2931977855200596e-9,796.0,266.0,3.271266907562243e-12,3.271266907562243e-12,3.271266907562243e-12,796.0,266.0,1.2931919789668623e-11,1.2931919789668623e-11,1.2931919789668623e-11,796.0,266.0,3.266186173514554e-14,3.266186173514554e-14,3.266186173514554e-14,796.0,266.0,1.2901435385382487e-13,1.2901435385382487e-13,1.2901435385382487e-13,796.0,266.0,1.0e-15,1.0e-15,1.0e-15,796.0,266.0,1.2701835119223264e-15,1.2701835119223264e-15,1.2701835119223264e-15,796.0,266.0,1.0e-15,1.0e-15,1.0e-15,796.0,266.0,1.0e-15,1.0e-15,1.0e-15
